OBJECTID,LATITUDE,LONGITUDE,NAME,GRADE,TYPE,ADDRESS,CITY,ZIP,PHONE,WEBSITE,SCHOOL
1,47.57404525600003, -122.30301448899996,Kimball,K - 5,Elementary,3200 23rd Ave. S,Seattle,98144,(206) 252-7280,http://kimballes.seattleschools.org/,Kimball
2,47.57298061400007, -122.39027968499994,Madison,6 - 8,Middle School,3429 45th Ave. SW,Seattle,98116,(206) 252-9200,http://madisonms.seattleschools.org/,Madison
3,47.654635461000055, -122.34912373599997,B.F. Day,K - 5,Elementary,3921 Linden Ave N,Seattle,98103,(206) 252-6010,http://dayes.seattleschools.org/,B.F. Day
4,47.55477872700004, -122.27595641799996,Orca K-8,K - 8,Option Elementary,5215 46th Ave. S,Seattle,98118,(206) 252-6900,http://orcak8.seattleschools.org/,Orca
5,47.66071745100004, -122.33576416199998,,,Closed_Leased_Land,4416 Wallingford Ave. N,Seattle,98103,,,Interlake
6,47.623243556000034, -122.34994749399999,,,Admin,401 5th Ave. N,Seattle,98109,,,Memorial Stadium
7,47.54174320700008, -122.27691175999996,Martin Luther King Jr.,K - 5,Elementary,6725 45th Ave. S,Seattle,98118,(206) 252-6770,http://kinges.seattleschools.org/,Martin Luther King Jr.
8,47.61337342100006, -122.30928639899997,Seattle World School,6 - 12,Option,1700 E Union St.,Seattle,98122,(206)252-2200,http://sws.seattleschools.org/,T.T. Minor
9,47.50970036100006, -122.37758781299999,Arbor Heights,K - 5,Elementary,3701 SW 104th St.,Seattle,98146,(206)252-9250,http://arborheightses.seattleschools.org/,Arbor Heights
10,47.552372063000064, -122.31391191199998,Cleveland STEM,9 - 12,Option High School,5511 15th Ave. S,Seattle,98108,(206) 252-7800,http://clevelandhs.seattleschools.org/,Cleveland
11,47.56106125400004, -122.29249415699996,,,Closed_Leased,3100 S Alaska St.,Seattle,98108,,,Columbia Annex
12,47.54861953500006, -122.36214094199994,Louisa Boren STEM K-8,K - 8,Option Elementary,5950 Delridge Way SW,Seattle,98106,(206)252-8450,http://k5stem.seattleschools.org/,Boren
13,47.518052917000034, -122.37055804399995,Roxhill,K - 5,Elementary,9430 30th Ave. SW,Seattle,98126,(206) 252-9570,http://roxhilles.seattleschools.org/,Roxhill
14,47.72569939400006, -122.33683812599998,Ingraham Int'l,9 - 12,High School,1819 N 135th St.,Seattle,98133,(206) 252-3880,http://ingrahamhs.seattleschools.org/,Ingraham Int'l
15,47.69823172200006, -122.32125786999995,Olympic View,K - 5,Elementary,504 NE 95th St.,Seattle,98115,(206) 252-5500,http://olympicviewes.seattleschools.org/,Olympic View
